Account Name	Account Number	Brand code	Brand name
Just Energy Account 00001	ACC00000001	JE	Just Energy
Just Energy Account 00002	ACC00000002	JE	Just Energy
Shell Energy Account 00003	ACC00000003	JE	Just Energy
Pulse Power Account 00004	ACC00000004	PP	Pulse Power
Just Energy Account 00005	ACC00000005	JE	Just Energy
Shell Energy Account 00006	ACC00000006	JE	Just Energy
Pulse Power Account 00007	ACC00000007	PP	Pulse Power
Just Energy Account 00008	ACC00000008	JE	Just Energy
Shell Energy Account 00009	ACC00000009	JE	Just Energy
Pulse Power Account 00010	ACC00000010	PP	Pulse Power
Just Energy Account 00011	ACC00000011	JE	Just Energy
Shell Energy Account 00012	ACC00000012	JE	Just Energy
Pulse Power Account 00013	ACC00000013	PP	Pulse Power
Just Energy Account 00014	ACC00000014	JE	Just Energy
Shell Energy Account 00015	ACC00000015	JE	Just Energy
Pulse Power Account 00016	ACC00000016	PP	Pulse Power
Just Energy Account 00017	ACC00000017	JE	Just Energy
Shell Energy Account 00018	ACC00000018	JE	Just Energy
Pulse Power Account 00019	ACC00000019	PP	Pulse Power
Just Energy Account 00020	ACC00000020	JE	Just Energy
Shell Energy Account 00021	ACC00000021	JE	Just Energy
Pulse Power Account 00022	ACC00000022	PP	Pulse Power
Just Energy Account 00023	ACC00000023	JE	Just Energy
Shell Energy Account 00024	ACC00000024	SE	Shell Energy
Pulse Power Account 00025	ACC00000025	PP	Pulse Power
Just Energy Account 00026	ACC00000026	JE	Just Energy
Shell Energy Account 00027	ACC00000027	SE	Shell Energy
Pulse Power Account 00028	ACC00000028	PP	Pulse Power
Just Energy Account 00029	ACC00000029	JE	Just Energy
Shell Energy Account 00030	ACC00000030	SE	Shell Energy
Pulse Power Account 00031	ACC00000031	PP	Pulse Power
Just Energy Account 00032	ACC00000032	JE	Just Energy
Shell Energy Account 00033	ACC00000033	SE	Shell Energy
Pulse Power Account 00034	ACC00000034	PP	Pulse Power
Just Energy Account 00035	ACC00000035	JE	Just Energy
Shell Energy Account 00036	ACC00000036	SE	Shell Energy
Pulse Power Account 00037	ACC00000037	PP	Pulse Power
Just Energy Account 00038	ACC00000038	JE	Just Energy
Shell Energy Account 00039	ACC00000039	SE	Shell Energy
Pulse Power Account 00040	ACC00000040	PP	Pulse Power
Just Energy Account 00041	ACC00000041	JE	Just Energy
Shell Energy Account 00042	ACC00000042	SE	Shell Energy
Pulse Power Account 00043	ACC00000043	PP	Pulse Power
Just Energy Account 00044	ACC00000044	JE	Just Energy
Shell Energy Account 00045	ACC00000045	SE	Shell Energy
Pulse Power Account 00046	ACC00000046	PP	Pulse Power
Just Energy Account 00047	ACC00000047	JE	Just Energy
Shell Energy Account 00048	ACC00000048	SE	Shell Energy
Pulse Power Account 00049	ACC00000049	PP	Pulse Power
Just Energy Account 00050	ACC00000050	JE	Just Energy
Shell Energy Account 00051	ACC00000051	SE	Shell Energy
Pulse Power Account 00052	ACC00000052	PP	Pulse Power
Just Energy Account 00053	ACC00000053	JE	Just Energy
Shell Energy Account 00054	ACC00000054	SE	Shell Energy
Pulse Power Account 00055	ACC00000055	PP	Pulse Power
Just Energy Account 00056	ACC00000056	JE	Just Energy
Shell Energy Account 00057	ACC00000057	SE	Shell Energy
Pulse Power Account 00058	ACC00000058	PP	Pulse Power
Just Energy Account 00059	ACC00000059	JE	Just Energy
Shell Energy Account 00060	ACC00000060	SE	Shell Energy
Pulse Power Account 00061	ACC00000061	PP	Pulse Power
Just Energy Account 00062	ACC00000062	JE	Just Energy
Shell Energy Account 00063	ACC00000063	SE	Shell Energy
Pulse Power Account 00064	ACC00000064	PP	Pulse Power
Just Energy Account 00065	ACC00000065	JE	Just Energy
Shell Energy Account 00066	ACC00000066	SE	Shell Energy
Pulse Power Account 00067	ACC00000067	PP	Pulse Power
Just Energy Account 00068	ACC00000068	JE	Just Energy
Shell Energy Account 00069	ACC00000069	SE	Shell Energy
Pulse Power Account 00070	ACC00000070	PP	Pulse Power
Just Energy Account 00071	ACC00000071	JE	Just Energy
Shell Energy Account 00072	ACC00000072	SE	Shell Energy
Pulse Power Account 00073	ACC00000073	PP	Pulse Power
Just Energy Account 00074	ACC00000074	JE	Just Energy
Shell Energy Account 00075	ACC00000075	SE	Shell Energy
Pulse Power Account 00076	ACC00000076	PP	Pulse Power
Just Energy Account 00077	ACC00000077	JE	Just Energy
Shell Energy Account 00078	ACC00000078	SE	Shell Energy
Pulse Power Account 00079	ACC00000079	PP	Pulse Power
Just Energy Account 00080	ACC00000080	JE	Just Energy
Shell Energy Account 00081	ACC00000081	SE	Shell Energy
Pulse Power Account 00082	ACC00000082	PP	Pulse Power
Just Energy Account 00083	ACC00000083	JE	Just Energy
Shell Energy Account 00084	ACC00000084	SE	Shell Energy
Pulse Power Account 00085	ACC00000085	PP	Pulse Power
Just Energy Account 00086	ACC00000086	JE	Just Energy
Shell Energy Account 00087	ACC00000087	SE	Shell Energy
Pulse Power Account 00088	ACC00000088	PP	Pulse Power
Just Energy Account 00089	ACC00000089	JE	Just Energy
Shell Energy Account 00090	ACC00000090	SE	Shell Energy
Pulse Power Account 00091	ACC00000091	PP	Pulse Power
Just Energy Account 00092	ACC00000092	JE	Just Energy
Shell Energy Account 00093	ACC00000093	SE	Shell Energy
Pulse Power Account 00094	ACC00000094	PP	Pulse Power
Just Energy Account 00095	ACC00000095	JE	Just Energy
Shell Energy Account 00096	ACC00000096	SE	Shell Energy
Pulse Power Account 00097	ACC00000097	PP	Pulse Power
Just Energy Account 00098	ACC00000098	JE	Just Energy
Shell Energy Account 00099	ACC00000099	SE	Shell Energy
Pulse Power Account 00100	ACC00000100	PP	Pulse Power
Just Energy Account 00101	ACC00000101	JE	Just Energy
Shell Energy Account 00102	ACC00000102	SE	Shell Energy
Pulse Power Account 00103	ACC00000103	PP	Pulse Power
Just Energy Account 00104	ACC00000104	JE	Just Energy
Shell Energy Account 00105	ACC00000105	SE	Shell Energy
Pulse Power Account 00106	ACC00000106	PP	Pulse Power
Just Energy Account 00107	ACC00000107	JE	Just Energy
Shell Energy Account 00108	ACC00000108	SE	Shell Energy
Pulse Power Account 00109	ACC00000109	PP	Pulse Power
Just Energy Account 00110	ACC00000110	JE	Just Energy
Shell Energy Account 00111	ACC00000111	SE	Shell Energy
Pulse Power Account 00112	ACC00000112	PP	Pulse Power
Just Energy Account 00113	ACC00000113	JE	Just Energy
Shell Energy Account 00114	ACC00000114	SE	Shell Energy
Pulse Power Account 00115	ACC00000115	PP	Pulse Power
Just Energy Account 00116	ACC00000116	JE	Just Energy
Shell Energy Account 00117	ACC00000117	SE	Shell Energy
Pulse Power Account 00118	ACC00000118	PP	Pulse Power
Just Energy Account 00119	ACC00000119	JE	Just Energy
Shell Energy Account 00120	ACC00000120	SE	Shell Energy
Pulse Power Account 00121	ACC00000121	PP	Pulse Power
Just Energy Account 00122	ACC00000122	JE	Just Energy
Shell Energy Account 00123	ACC00000123	SE	Shell Energy
Pulse Power Account 00124	ACC00000124	PP	Pulse Power
Just Energy Account 00125	ACC00000125	JE	Just Energy
Shell Energy Account 00126	ACC00000126	SE	Shell Energy
Pulse Power Account 00127	ACC00000127	PP	Pulse Power
Just Energy Account 00128	ACC00000128	JE	Just Energy
Shell Energy Account 00129	ACC00000129	SE	Shell Energy
Pulse Power Account 00130	ACC00000130	PP	Pulse Power
Just Energy Account 00131	ACC00000131	JE	Just Energy
Shell Energy Account 00132	ACC00000132	SE	Shell Energy
Pulse Power Account 00133	ACC00000133	PP	Pulse Power
Just Energy Account 00134	ACC00000134	JE	Just Energy
Shell Energy Account 00135	ACC00000135	SE	Shell Energy
Pulse Power Account 00136	ACC00000136	PP	Pulse Power
Just Energy Account 00137	ACC00000137	JE	Just Energy
Shell Energy Account 00138	ACC00000138	SE	Shell Energy
Pulse Power Account 00139	ACC00000139	PP	Pulse Power
Just Energy Account 00140	ACC00000140	JE	Just Energy
Shell Energy Account 00141	ACC00000141	SE	Shell Energy
Pulse Power Account 00142	ACC00000142	PP	Pulse Power
Just Energy Account 00143	ACC00000143	JE	Just Energy
Shell Energy Account 00144	ACC00000144	SE	Shell Energy
Pulse Power Account 00145	ACC00000145	PP	Pulse Power
Just Energy Account 00146	ACC00000146	JE	Just Energy
Shell Energy Account 00147	ACC00000147	SE	Shell Energy
Pulse Power Account 00148	ACC00000148	PP	Pulse Power
Just Energy Account 00149	ACC00000149	JE	Just Energy
Shell Energy Account 00150	ACC00000150	SE	Shell Energy
Pulse Power Account 00151	ACC00000151	PP	Pulse Power
Just Energy Account 00152	ACC00000152	JE	Just Energy
Shell Energy Account 00153	ACC00000153	SE	Shell Energy
Pulse Power Account 00154	ACC00000154	PP	Pulse Power
Just Energy Account 00155	ACC00000155	JE	Just Energy
Shell Energy Account 00156	ACC00000156	SE	Shell Energy
Pulse Power Account 00157	ACC00000157	PP	Pulse Power
Just Energy Account 00158	ACC00000158	JE	Just Energy
Shell Energy Account 00159	ACC00000159	SE	Shell Energy
Pulse Power Account 00160	ACC00000160	PP	Pulse Power
Just Energy Account 00161	ACC00000161	JE	Just Energy
Shell Energy Account 00162	ACC00000162	SE	Shell Energy
Pulse Power Account 00163	ACC00000163	PP	Pulse Power
Just Energy Account 00164	ACC00000164	JE	Just Energy
Shell Energy Account 00165	ACC00000165	SE	Shell Energy
Pulse Power Account 00166	ACC00000166	PP	Pulse Power
Just Energy Account 00167	ACC00000167	JE	Just Energy
Shell Energy Account 00168	ACC00000168	SE	Shell Energy
Pulse Power Account 00169	ACC00000169	PP	Pulse Power
Just Energy Account 00170	ACC00000170	JE	Just Energy
Shell Energy Account 00171	ACC00000171	SE	Shell Energy
Pulse Power Account 00172	ACC00000172	PP	Pulse Power
Just Energy Account 00173	ACC00000173	JE	Just Energy
Shell Energy Account 00174	ACC00000174	SE	Shell Energy
Pulse Power Account 00175	ACC00000175	PP	Pulse Power
Just Energy Account 00176	ACC00000176	JE	Just Energy
Shell Energy Account 00177	ACC00000177	SE	Shell Energy
Pulse Power Account 00178	ACC00000178	PP	Pulse Power
Just Energy Account 00179	ACC00000179	JE	Just Energy
Shell Energy Account 00180	ACC00000180	SE	Shell Energy
Pulse Power Account 00181	ACC00000181	PP	Pulse Power
Just Energy Account 00182	ACC00000182	JE	Just Energy
Shell Energy Account 00183	ACC00000183	SE	Shell Energy
Pulse Power Account 00184	ACC00000184	PP	Pulse Power
Just Energy Account 00185	ACC00000185	JE	Just Energy
Shell Energy Account 00186	ACC00000186	SE	Shell Energy
Pulse Power Account 00187	ACC00000187	PP	Pulse Power
Just Energy Account 00188	ACC00000188	JE	Just Energy
Shell Energy Account 00189	ACC00000189	SE	Shell Energy
Pulse Power Account 00190	ACC00000190	PP	Pulse Power
Just Energy Account 00191	ACC00000191	JE	Just Energy
Shell Energy Account 00192	ACC00000192	SE	Shell Energy
Pulse Power Account 00193	ACC00000193	PP	Pulse Power
Just Energy Account 00194	ACC00000194	JE	Just Energy
Shell Energy Account 00195	ACC00000195	SE	Shell Energy
Pulse Power Account 00196	ACC00000196	PP	Pulse Power
Just Energy Account 00197	ACC00000197	JE	Just Energy
Shell Energy Account 00198	ACC00000198	SE	Shell Energy
Pulse Power Account 00199	ACC00000199	PP	Pulse Power
Just Energy Account 00200	ACC00000200	JE	Just Energy
Shell Energy Account 00201	ACC00000201	SE	Shell Energy
Pulse Power Account 00202	ACC00000202	PP	Pulse Power
Just Energy Account 00203	ACC00000203	JE	Just Energy
Shell Energy Account 00204	ACC00000204	SE	Shell Energy
Pulse Power Account 00205	ACC00000205	PP	Pulse Power
Just Energy Account 00206	ACC00000206	JE	Just Energy
Shell Energy Account 00207	ACC00000207	SE	Shell Energy
Pulse Power Account 00208	ACC00000208	PP	Pulse Power
Just Energy Account 00209	ACC00000209	JE	Just Energy
Shell Energy Account 00210	ACC00000210	SE	Shell Energy
Pulse Power Account 00211	ACC00000211	PP	Pulse Power
Just Energy Account 00212	ACC00000212	JE	Just Energy
Shell Energy Account 00213	ACC00000213	SE	Shell Energy
Pulse Power Account 00214	ACC00000214	PP	Pulse Power
Just Energy Account 00215	ACC00000215	JE	Just Energy
Shell Energy Account 00216	ACC00000216	SE	Shell Energy
Pulse Power Account 00217	ACC00000217	PP	Pulse Power
Just Energy Account 00218	ACC00000218	JE	Just Energy
Shell Energy Account 00219	ACC00000219	SE	Shell Energy
Pulse Power Account 00220	ACC00000220	PP	Pulse Power
Just Energy Account 00221	ACC00000221	JE	Just Energy
Shell Energy Account 00222	ACC00000222	SE	Shell Energy
Pulse Power Account 00223	ACC00000223	PP	Pulse Power
Just Energy Account 00224	ACC00000224	JE	Just Energy
Shell Energy Account 00225	ACC00000225	SE	Shell Energy
Pulse Power Account 00226	ACC00000226	PP	Pulse Power
Just Energy Account 00227	ACC00000227	JE	Just Energy
Shell Energy Account 00228	ACC00000228	SE	Shell Energy
Pulse Power Account 00229	ACC00000229	PP	Pulse Power
Just Energy Account 00230	ACC00000230	JE	Just Energy
Shell Energy Account 00231	ACC00000231	SE	Shell Energy
Pulse Power Account 00232	ACC00000232	PP	Pulse Power
Just Energy Account 00233	ACC00000233	JE	Just Energy
Shell Energy Account 00234	ACC00000234	SE	Shell Energy
Pulse Power Account 00235	ACC00000235	PP	Pulse Power
Just Energy Account 00236	ACC00000236	JE	Just Energy
Shell Energy Account 00237	ACC00000237	SE	Shell Energy
Pulse Power Account 00238	ACC00000238	PP	Pulse Power
Just Energy Account 00239	ACC00000239	JE	Just Energy
Shell Energy Account 00240	ACC00000240	SE	Shell Energy
Pulse Power Account 00241	ACC00000241	PP	Pulse Power
Just Energy Account 00242	ACC00000242	JE	Just Energy
Shell Energy Account 00243	ACC00000243	SE	Shell Energy
Pulse Power Account 00244	ACC00000244	PP	Pulse Power
Just Energy Account 00245	ACC00000245	JE	Just Energy
Shell Energy Account 00246	ACC00000246	SE	Shell Energy
Pulse Power Account 00247	ACC00000247	PP	Pulse Power
